name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
118,eGon2035_lowflex,52087,11,OCGT,243.57142857142858,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,243.57142857142858,DE,inf,True,,,9.6,0.0,1.0,0.2,0.2
119,eGon2035_lowflex,52087,11,central_gas_CHP,7006.14530148464,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.116602450342797,7006.14530148464,DE,inf,False,,,0.0,,,1.0,1.0
120,eGon2035_lowflex,52087,11,industrial_gas_CHP,971.3232582341667,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.15,971.3232582341667,DE,inf,False,,,0.0,,,1.0,1.0
121,eGon2035_lowflex,52087,11,central_gas_CHP,5827.46841682688,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.111140692640693,5827.46841682688,DE,inf,False,,,0.0,,,1.0,1.0
122,eGon2035_lowflex,52087,11,industrial_gas_CHP,1461.6425714167906,inf,0.0,0.0,0.43000000000000005,0.0,0.0,1.0,4.15,1461.6425714167906,DE,inf,False,,,0.0,,,1.0,1.0
123,eGon2035_lowflex,52087,12,OCGT,55.714285714285715,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,55.714285714285715,DE,inf,True,,,9.6,0.0,1.0,0.2,0.2
124,eGon2035_lowflex,52087,12,central_gas_CHP,4371.261091594255,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.125382032497417,4371.261091594255,DE,inf,False,,,0.0,,,1.0,1.0
125,eGon2035_lowflex,52087,12,industrial_gas_CHP,1000.3599825312467,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.15,1000.3599825312467,DE,inf,False,,,0.0,,,1.0,1.0
126,eGon2035_lowflex,52087,13,OCGT,4873.809523809524,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,4873.809523809524,DE,inf,True,,,9.6,0.0,1.0,0.2,0.2
127,eGon2035_lowflex,52087,13,central_gas_CHP,16785.649920802065,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.121728682709695,16785.649920802065,DE,inf,False,,,0.0,,,1.0,1.0
