name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
112,eGon2035_lowflex,13,52101,power_to_H2,0.0,True,inf,461.2241533423849,0.0,0.7,0.0,0.0,1.0,0.0,950.2368698143375,DE,31.0,False,,,,,,1.0,1.0
113,eGon2035_lowflex,13,52115,central_heat_pump,226.34403409935868,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,226.34403409935868,DE,inf,False,,,,,,1.0,1.0
114,eGon2035_lowflex,13,52115,central_resistive_heater,270.6401378138724,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,270.6401378138724,DE,inf,False,,,,,,1.0,1.0
115,eGon2035_lowflex,52087,12,OCGT,1439.2857142857144,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,1439.2857142857144,DE,inf,True,,,,0.0,1.0,0.2,0.2
116,eGon2035_lowflex,52087,12,central_gas_CHP,1392.296608813135,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.129292671614101,1392.296608813135,DE,inf,False,,,,,,1.0,1.0
117,eGon2035_lowflex,52087,12,industrial_gas_CHP,787.5420366716256,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.15,787.5420366716256,DE,inf,False,,,,,,1.0,1.0
118,eGon2035_lowflex,52087,13,OCGT,243.57142857142858,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,243.57142857142858,DE,inf,True,,,,0.0,1.0,0.2,0.2
119,eGon2035_lowflex,52087,13,central_gas_CHP,7006.14530148464,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.116602450342797,7006.14530148464,DE,inf,False,,,,,,1.0,1.0
120,eGon2035_lowflex,52087,13,industrial_gas_CHP,971.3232582341667,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.15,971.3232582341667,DE,inf,False,,,,,,1.0,1.0
121,eGon2035_lowflex,52087,12,central_gas_CHP,5827.46841682688,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.111140692640693,5827.46841682688,DE,inf,False,,,,,,1.0,1.0
122,eGon2035_lowflex,52087,12,industrial_gas_CHP,1461.6425714167906,False,inf,0.0,0.0,0.43000000000000005,0.0,0.0,1.0,4.15,1461.6425714167906,DE,inf,False,,,,,,1.0,1.0
123,eGon2035_lowflex,52087,12,OCGT,55.714285714285715,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,55.714285714285715,DE,inf,True,,,,0.0,1.0,0.2,0.2
124,eGon2035_lowflex,52087,12,central_gas_CHP,4371.261091594255,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.125382032497417,4371.261091594255,DE,inf,False,,,,,,1.0,1.0
125,eGon2035_lowflex,52087,12,industrial_gas_CHP,1000.3599825312467,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.15,1000.3599825312467,DE,inf,False,,,,,,1.0,1.0
126,eGon2035_lowflex,52087,11,OCGT,4873.809523809524,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,4873.809523809524,DE,inf,True,,,,0.0,1.0,0.2,0.2
127,eGon2035_lowflex,52087,11,central_gas_CHP,16785.649920802065,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.121728682709695,16785.649920802065,DE,inf,False,,,,,,1.0,1.0
128,eGon2035_lowflex,52087,11,industrial_gas_CHP,2891.0494588252664,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.15,2891.0494588252664,DE,inf,False,,,,,,1.0,1.0
129,eGon2035_lowflex,52087,12,central_gas_CHP,100.32565379961258,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.142500000000001,100.32565379961258,DE,inf,False,,,,,,1.0,1.0
130,eGon2035_lowflex,52087,12,industrial_gas_CHP,2056.2869077918685,False,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.15,2056.2869077918685,DE,inf,False,,,,,,1.0,1.0
