name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
12 reservoir,eGon2035,12,reservoir,34.80747775405502,0.6500000000000001,0.009296474887086658,1.0,0,inf,PV,34.80747775405502,34.80747775405502
12 run_of_river,eGon2035,12,run_of_river,3.945555855934778,0.6500000000000001,0.0077279403530259505,1.0000000000000002,0,inf,PV,3.945555855934778,3.945555855934778
12 solar,eGon2035,12,solar,252.1186307267206,1.0,0.01842830929019569,1.0,0,inf,PV,252.1186307267206,252.1186307267206
12 solar_rooftop,eGon2035,12,solar_rooftop,11340.591961942828,0.9999999999999999,0.018333140776545912,0.9999999999999999,0,inf,PV,11340.591961942828,11340.591961942828
12 wind_offshore,eGon2035,12,wind_offshore,1250.0,1.0,2.5710282284921226,1.0,0,inf,PV,1250.0,1250.0
12 wind_onshore,eGon2035,12,wind_onshore,3155.3780647087556,1.0000000000000002,1.3080133326260421,1.0000000000000002,0,inf,PV,3155.3780647087556,3155.3780647087556
13 biomass,eGon2035,13,biomass,87.88277950368648,1.0,42.10802854038312,1.0,0,inf,PV,87.88277950368648,87.88277950368648
13 central_biomass_CHP,eGon2035,13,central_biomass_CHP,50.98756039865676,1.0,42.11063104881508,1.0,0,inf,PV,50.98756039865676,50.98756039865676
13 industrial_biomass_CHP,eGon2035,13,industrial_biomass_CHP,558.9491647087439,1.0,42.108220921840996,1.0,0,inf,PV,558.9491647087439,558.9491647087439
13 load shedding,,13,load shedding,80958152.7254642,0.9999999999999998,10000.008057631183,0.9999999999999998,1,0.0,PQ,80958152.7254642,80958152.7254642
13 others,eGon2035,13,others,22.236970841666142,1.0,0.0030851716184816,1.0,0,inf,PV,22.236970841666142,22.236970841666142
13 reservoir,eGon2035,13,reservoir,2.5893032160638585,0.6500000000000001,0.010124916790704461,1.0,0,inf,PV,2.5893032160638585,2.5893032160638585
13 run_of_river,eGon2035,13,run_of_river,802.1501411990766,0.65,0.00787152190052809,1.0,0,inf,PV,802.1501411990766,802.1501411990766
13 solar,eGon2035,13,solar,3151.1912412666675,0.9999999999999999,0.017954052302332237,0.9999999999999999,0,inf,PV,3151.1912412666675,3151.1912412666675
13 solar_rooftop,eGon2035,13,solar_rooftop,7633.6243368026235,0.9999999999999999,0.018092067246789616,0.9999999999999999,0,inf,PV,7633.6243368026235,7633.6243368026235
13 wind_onshore,eGon2035,13,wind_onshore,2579.500213035278,1.0000000000000002,1.3086822743154225,1.0000000000000002,0,inf,PV,2579.500213035278,2579.500213035278
14 biomass,eGon2035,14,biomass,16.373106843691954,0.9999999999999997,42.10787368336608,0.9999999999999997,0,inf,PV,16.373106843691954,16.373106843691954
14 central_biomass_CHP,eGon2035,14,central_biomass_CHP,1.5348473000530662,1.0,42.10429116340349,1.0,0,inf,PV,1.5348473000530662,1.5348473000530662
14 industrial_biomass_CHP,eGon2035,14,industrial_biomass_CHP,281.74253280826946,0.9999999999999999,42.1073849070728,0.9999999999999999,0,inf,PV,281.74253280826946,281.74253280826946
14 load shedding,,14,load shedding,22587070.82309189,0.9999999999999998,10000.008465090583,0.9999999999999998,1,0.0,PQ,22587070.82309189,22587070.82309189
14 run_of_river,eGon2035,14,run_of_river,0.26472228718447927,0.6500000000000001,0.005941449128813764,1.0,0,inf,PV,0.26472228718447927,0.26472228718447927
14 solar,eGon2035,14,solar,146.6547779737755,1.0000000000000002,0.017594800757671277,1.0000000000000002,0,inf,PV,146.6547779737755,146.6547779737755
14 solar_rooftop,eGon2035,14,solar_rooftop,1106.7326745079388,1.0,0.019521282532619078,1.0,0,inf,PV,1106.7326745079388,1106.7326745079388
14 wind_offshore,eGon2035,14,wind_offshore,8339.0,1.0,2.5621289963871585,1.0,0,inf,PV,8339.0,8339.0
14 wind_onshore,eGon2035,14,wind_onshore,6277.303070263102,1.0,1.3071644747216193,1.0,0,inf,PV,6277.303070263102,6277.303070263102
15 biomass,eGon2035,15,biomass,61.55848698062784,1.0,42.110664852365296,1.0,0,inf,PV,61.55848698062784,61.55848698062784
15 central_biomass_CHP,eGon2035,15,central_biomass_CHP,56.33849674135425,0.9999999999999999,42.10672842822101,0.9999999999999999,0,inf,PV,56.33849674135425,56.33849674135425
